S/N,LR,LDA,KNN,CART,NB,SVM,RF,MVH,MVS
1.0,0.4990994595216368,0.4990447486980395,0.5344749178665,0.5251665787167928,0.5287279127557488,0.49950272964259373,0.5210895748710757,0.5188271347931794,0.5246556415767949
1.0,0.5051489367700772,0.5024274165179314,0.5321406691139935,0.5232085309790869,0.5281659235253022,0.5056803430387726,0.5175954548185895,0.5260715345110867,0.5314165527020733
1.0,0.5068073409318621,0.5052493185178327,0.5276765524440533,0.5222527369612098,0.5288097363787331,0.5072115654049603,0.5164429147827698,0.522800735159301,0.5268381207431152
1.0,0.5021904221357081,0.5026471106804952,0.5321000827020869,0.5243708054067475,0.529792330444452,0.503248844653249,0.519393334671266,0.5227718700314041,0.5277149541944317
1.0,0.5057457862995828,0.5051933060958933,0.5307256707411064,0.5220981043185998,0.5307738574754874,0.5064130417210331,0.5171433126694248,0.5254171455962157,0.5288063283067491
1.0,0.506699593425291,0.5057368935773412,0.531570697820216,0.5271528844764551,0.5273775941619588,0.5069173788835722,0.5217784423441492,0.5240160462699354,0.5291105182782927
1.0,0.5059306201630875,0.504775104388302,0.53282735882447,0.5237308881497681,0.5269743240410021,0.5059727335384201,0.5212470360754538,0.5250709549318815,0.5286173297884785
1.0,0.5030561069142997,0.5019181167242578,0.5379522413212998,0.5257257830787018,0.5300715508845499,0.5033718272994248,0.5200613535744294,0.5222102625418141,0.5282313943818371
1.0,0.5026376016537382,0.5025747960842679,0.5265100006790848,0.521572424162752,0.5279994914107963,0.5036273361131887,0.5154887259162051,0.5198925068340237,0.5240734545756092
1.0,0.5012691848639199,0.49980947911759077,0.5308539977592732,0.5226808639310703,0.5265490601275654,0.501741715654252,0.5157970023546281,0.5194795368158815,0.522947411034661
1.0,0.5056228036534072,0.5049833463251705,0.5326571093013988,0.5232685516800196,0.5300366905854909,0.5056445283875723,0.5174809486591433,0.5249026141130928,0.5284276459763813
1.0,0.5047964473816107,0.5031705003912039,0.5304816923409239,0.5221541167405392,0.5264854128884958,0.5047504384098267,0.5187202749490819,0.5215062381170223,0.5262561246123577
1.0,0.5009247902213262,0.49986205587182175,0.528187266518611,0.5196216295013197,0.524838157399436,0.5020403703833761,0.5159879095771813,0.518728054643766,0.5238362348283019
1.0,0.5034387975236609,0.5038256527877879,0.5310269976562261,0.52274745241445,0.52942250634167,0.5041735957806321,0.5157042209293472,0.5220124057959576,0.527217566555196
1.0,0.5013236703224333,0.4998739680262597,0.5358267634237159,0.5277377436636365,0.5272830949028237,0.5017461838619881,0.5191581363107832,0.523436453266859,0.5289149519775752
1.0,0.501696357481639,0.5008637024857102,0.5310077542376282,0.5233244859140729,0.5270562603465283,0.5023147408748815,0.5179781454279507,0.5205241384747019,0.524324495181637
1.0,0.5018188801990718,0.5019121215530956,0.5326172081833189,0.5256960762812056,0.5289624603170606,0.5022029069014309,0.5212201923343814,0.5226594634466688,0.5297842632943035
1.0,0.5078763395108432,0.5072765142423719,0.531275747817115,0.5249636466572597,0.5299680025274004,0.5082711331450707,0.5185526976120063,0.5269718105304226,0.5291837872266612
