S/N,LR,LDA,KNN,CART,NB,SVM,RF,MVH,MVS
1.0,0.5450324211819539,0.5378024586272825,0.5041261633293892,0.5062325058916297,0.5317894629267192,0.5365648869654975,0.5331815637471471,0.5409073386851102,0.5379639970999653
1.0,0.5416493716212054,0.5344484650648591,0.5066831256766557,0.5092524555078157,0.5325070046572614,0.5329361411707123,0.5333086328602024,0.5397689667542118,0.5365181904002431
1.0,0.54025647972334,0.5315328272875355,0.505737795037677,0.5061592369432611,0.532592073077526,0.5329012808716533,0.528562241823312,0.5368518020134623,0.5305347635185533
1.0,0.5445810425145021,0.5353735197452123,0.5038021573279631,0.5076965671631528,0.5310238908375686,0.5359540257068431,0.532521830460285,0.5395335775233008,0.5347858664909187
1.0,0.5444719589149334,0.5348980477105701,0.5115826223927301,0.5059441236709755,0.5340297505367196,0.5344507141164112,0.5342431183794264,0.5424795292040608,0.5380390620700745
1.0,0.5411583953886441,0.5368995104219508,0.5064057012582983,0.5093001041255677,0.5300772241055921,0.5352719168866449,0.5348334001264851,0.5411014907049436,0.5344814074610607
1.0,0.5412618310632515,0.5357999288812185,0.5057834222686045,0.506748182597322,0.5287852083788807,0.5358539912052885,0.5359729609731835,0.5411754104524832,0.5369529978350924
1.0,0.5480946750439007,0.5392380365117652,0.5048559989552258,0.5040969900492347,0.5329670506818708,0.5419548999853904,0.5363657677152421,0.5462117106734536,0.5403410882148618
1.0,0.5408050298359225,0.5336452823027675,0.5062667199908051,0.5049451492430826,0.5312091846298161,0.5324484879233176,0.5310407035327609,0.5370905487241956,0.5316941748897901
1.0,0.5400842433081,0.5333081407364475,0.5057707466324535,0.504743475088661,0.5296479519131622,0.5315707001198597,0.527579569569707,0.5380758931637962,0.5320436103514047
1.0,0.5450342172036944,0.5321138690661517,0.5070075916068247,0.5074214331899345,0.5328029090125038,0.5342748511630344,0.5341270852565542,0.5384606833478682,0.5367845788284176
1.0,0.5390554494001689,0.5348791860328288,0.5057545571407076,0.5078264993326319,0.5286308792892409,0.5335300494559077,0.5322920546596795,0.5390396255517736,0.5398874191022711
1.0,0.5441683415546746,0.5292522223239431,0.505957567388127,0.5065979399745618,0.5273120980093433,0.5312003815936793,0.529094793314577,0.5375662116292661,0.5326897136499745
1.0,0.5403313538230209,0.5311843461780623,0.5045123677943453,0.506571365291804,0.5310148417395544,0.5315264871698162,0.5294190683743177,0.5346769576642721,0.533843589778792
1.0,0.5448641930457072,0.5398034614099203,0.5071241191530955,0.5058013249949171,0.5291311299849003,0.5394638753223324,0.536511351259838,0.5423871295196364,0.5355332621961547
1.0,0.5394277548185182,0.5348370726574961,0.5037775695373741,0.5059620309965757,0.5302908104144517,0.5346633460731296,0.5295985578658313,0.5384764910987576,0.5334601356877178
1.0,0.5449033306820741,0.5342532805049981,0.5086118138630664,0.5110604514931897,0.5308322201333026,0.5334384132531962,0.5332608278666777,0.5407843560389345,0.5389014238634995
1.0,0.5448469365192782,0.5355888238879263,0.5044901831314372,0.509542364691896,0.533350504772945,0.5343060067360703,0.5314344646269609,0.5403988023731495,0.5354750375169625
1.0,0.5442245448470423,0.5302206137900849,0.5033415386920689,0.5082811227973639,0.528463111081737,0.5315826904621841,0.5321024490354684,0.5349195999714569,0.5312807104482495
1.0,0.5424170432850668,0.533621076253035,0.5056162266723854,0.5073390369556654,0.5325474001987398,0.5336566586402203,0.5336161458169124,0.537879641569252,0.5310084395314549
1.0,0.5407746377445996,0.5281337009175832,0.5058078191887653,0.5089347482305219,0.5322896009398368,0.5318312497526445,0.5298088993774106,0.535183394401522,0.531361310660778
1.0,0.5423680930689727,0.5307773713310823,0.5026884858701957,0.5083986828836622,0.5268603376010351,0.5306250659279107,0.5313696721653218,0.5366569991944579,0.533086034247628
1.0,0.5388845490779268,0.530985153339208,0.5083591681057262,0.5056949917692302,0.5310855166898137,0.5322275703502981,0.5324053374086699,0.5363322297113187,0.5312621523234784
1.0,0.5484728974455259,0.5360209591367799,0.5058682216305546,0.5095781793430962,0.5344629528202566,0.5376732140512739,0.5358901829980579,0.5431308641920798,0.538837204013145
1.0,0.5427327636701919,0.5334644567182562,0.5030015340693251,0.501977394640271,0.5303271976769367,0.5356945086140859,0.5309161939231593,0.5373405222955402,0.5331055467245405
1.0,0.5432411091117242,0.532183780534698,0.506316355500726,0.5094731040225207,0.5303325420489278,0.5325774657406553,0.5311334067701556,0.538156684246753,0.5340007819248556
1.0,0.5451266513827746,0.5380189079925658,0.5063902752482655,0.505333184224435,0.5352318478945739,0.5384591747815919,0.534032013386134,0.541916698304015,0.5357945753106526
1.0,0.5451365421503881,0.5365143384970223,0.5056751021507487,0.5075333798459271,0.5318464297008001,0.5369723217412203,0.5337846775061292,0.5416822289305896,0.5372170958181278
1.0,0.5437077229187806,0.5376601198799669,0.5058020930759177,0.5078805248624025,0.5346768081874307,0.5356992803747922,0.5349337036863542,0.5435999593147034,0.5362023918272318
1.0,0.5403033648593789,0.5285035250203651,0.5065972937746782,0.5094453841171933,0.5277696627183854,0.5302988821638874,0.527266139629721,0.5340312361065588,0.5331926365316295
1.0,0.5458438113724602,0.5375806648900079,0.5030869842304462,0.5066115699628541,0.5297168308416809,0.5381358195793366,0.5346153111152336,0.5414854047247606,0.5359884237775158
1.0,0.5424414402052276,0.5379920297568377,0.5042610581300029,0.5050413663360722,0.5288821889535832,0.536887444191384,0.5357362356492746,0.54129640620649,0.5352472486085258
1.0,0.5418705927471951,0.5324621593051967,0.5068770868260609,0.5092395108133502,0.5310327490651545,0.5322884327208302,0.5335413843997736,0.5392501579337812,0.5342898149446809
1.0,0.5388620608620486,0.5341168587409584,0.5090510895056518,0.5074018080304801,0.5321675726458024,0.5333499873531093,0.5323316867194449,0.5390105695534485,0.5349261056635235
1.0,0.5429975906402845,0.5321193698139154,0.5058994553914767,0.5078477641380543,0.5310363756032914,0.5337271427200512,0.5315278186635266,0.5383714939660683,0.5336827710945915
1.0,0.5454260695936118,0.5363038061150148,0.5068641421315954,0.5079771236962486,0.5353991216786792,0.5370905671213453,0.5316948233893175,0.5426765442803181,0.5337973899365798
1.0,0.541538491999896,0.5346512062539639,0.5077830889582446,0.5099318139541322,0.5313633228490278,0.5355282673700081,0.5320774013161367,0.5397192530564048,0.5350627182979915
1.0,0.5391583469581473,0.5325733424794763,0.5069282492994078,0.5048979950487291,0.5318009933403007,0.5317075036247559,0.5313661583097269,0.5366473774851589,0.5331189858424045
1.0,0.544433853818594,0.5364771877528243,0.5062551895772236,0.502497270495385,0.5314007771461959,0.539008757434202,0.5348061401499005,0.5408252115091556,0.5333071426910757
1.0,0.5434603088508895,0.5337552075719356,0.5082296958649899,0.5082705467359236,0.5301719142351556,0.5317903597877677,0.5310941564512468,0.5385829025123309,0.5363771095580391
1.0,0.5425082977469218,0.5330115510873785,0.5044648318591353,0.5119303354212028,0.5285528385801659,0.5330314039115606,0.5306805793271643,0.5396793174436691,0.5367675131724167
1.0,0.5414554104718002,0.5340811222776444,0.5043503256996891,0.5081470696663495,0.5301496168897056,0.5336558951585072,0.5320446405917885,0.5382002119029696,0.5340354513534864
1.0,0.5413872168371082,0.5316170540382008,0.5062815733895532,0.5088417759348126,0.5291884784998375,0.5318422075549413,0.534072677985927,0.5367111029121148,0.5297203538958506
1.0,0.5422007066023254,0.5350600898052265,0.5080645998434816,0.5060368269083703,0.5304748807962434,0.5333628538596886,0.5328591628970332,0.5392888356414053,0.5353670991399632
1.0,0.5484639265353979,0.538288697593793,0.5056123310759341,0.508544153745716,0.5324926111872561,0.5412097165374071,0.5375739384321447,0.5431306733216515,0.5378953872297612
1.0,0.5455615370055102,0.5337172151581384,0.5069005293940805,0.5099529660770127,0.5297634124247497,0.534030109281139,0.5332479613600984,0.5379563461853292,0.5338160607438929
1.0,0.545751489875922,0.5342715695714547,0.5069351988227112,0.5150087787748956,0.5327363205291241,0.5351258734133062,0.5345794182761471,0.5425455450761558,0.5393193565127761
1.0,0.5394731911790175,0.5297886694116594,0.5064474328927745,0.5074149435953739,0.5288198778075114,0.5303074368385032,0.5313545152136034,0.534029136531848,0.5312155362457539
1.0,0.5406597498442969,0.533104826936058,0.5046260322841922,0.509393076421277,0.5289202940499226,0.5303135446922073,0.5295050911467236,0.5368871567359197,0.5350831069391588
1.0,0.5383467658972128,0.5336025181282639,0.5086731706569969,0.5057733015366197,0.5280359384640179,0.5338880740867937,0.5314237758829787,0.5373881709132923,0.5337406140329273
1.0,0.5412334603587532,0.5334105438710275,0.5081125175195481,0.5109207849318698,0.5312252959336756,0.5337628791833653,0.5317983717464669,0.5385672856318697,0.5358590642193214
1.0,0.5423100592602088,0.5321412854185088,0.5064943962166998,0.5077920207744293,0.5314197170118237,0.5328206806591248,0.5308061559714492,0.5378752515494022,0.5332795009736346
